particle_number,contour_number,area_from_moment,fancy_area,arch_length,feret_x,feret_y,convexity,aspect_ratio,elongation
103,5,2,2,5.65685,25,38,1,1,999
104,6,2,2,5.65685,50,37,1,1,999
105,7,5.5,5.5,9.07107,27,37,1,1,1
106,8,2,2,5.65685,116,36,1,1,999
107,9,2,2,5.65685,113,35,1,1,999
108,10,2,2,5.65685,114,34,1,1,999
109,11,2,2,5.65685,24,33,1,1,999
110,12,5.5,5.5,9.07107,22,33,1,1,1
111,13,2,2,5.65685,110,31,1,1,999
112,14,2,2,5.65685,23,30,1,1,999
113,15,2,2,5.65685,33,28,1,1,999
114,16,18,18,18.1421,39,26,0.878049,1,1.4943
115,17,2,2,5.65685,103,25,1,1,999
116,18,22.5,22.5,21.5563,111,23,0.9,0,1.52375
117,19,2,2,5.65685,102,23,1,1,999
118,20,5.5,5.5,9.07107,94,20,1,1,1
119,21,2,2,5.65685,95,18,1,1,999
120,0,56.5,56.5,43.2132,5,5,0.743421,1,1.83111
121,1,2,2,5.65685,15,10,1,1,999
122,0,191,191,92.9117,5,5,0.720755,0,2.3891
123,0,107.5,107.5,52.0416,5,5,0.81749,1,1.82488
124,0,36.5,36.5,25.5563,5,5,0.9125,0,1.94832
125,0,104,104,61.1127,5,5,0.74552,1,1.81798
126,0,77.5,77.5,63.3553,5,5,0.574074,1,1.19768
127,0,147.5,147.5,96.669,5,5,0.658482,1,1.37853
128,1,2,2,5.65685,14,19,1,1,999
129,2,4,4,7.65685,17,13,1,0,1.41421
130,3,2,2,5.65685,17,11,1,1,999
131,0,209.5,209.5,123.439,5,5,0.5,0,1.98159
132,1,2,2,5.65685,12,29,1,1,999
133,2,2,2,5.65685,10,29,1,1,999
134,3,2,2,5.65685,9,28,1,1,999
135,4,2,2,5.65685,14,27,1,1,999
136,5,7,7,10.4853,11,26,1,1,1.44701
137,6,2,2,5.65685,16,16,1,1,999
138,0,48,48,32.9706,5,5,0.834783,1,1.52264
139,0,137.5,137.5,100.468,5,5,0.587607,1,1.33377
140,1,2,2,5.65685,21,17,1,1,999
141,2,4,4,7.65685,11,15,1,1,1.41421
142,3,2,2,5.65685,11,12,1,1,999
143,4,2,2,5.65685,13,11,1,1,999
144,5,2,2,5.65685,6,7,1,1,999
145,0,60.5,60.5,44.8701,5,5,0.711765,0,1.19989
146,1,2,2,5.65685,12,11,1,1,999
147,0,67.5,67.5,37.5563,5,5,0.888158,1,1.66295
148,1,2,2,5.65685,14,8,1,1,999
149,2,4,4,7.65685,15,7,1,1,1.41421
